Date,Impressions,Reach,Cost,Clicks,Conversions,Revenue,Campaign type
2024-03-28,39274.0,27498.0,214.3,771.0,52.0,8362.9,Meta
2024-03-29,29106.0,21547.0,140.0,530.0,35.0,4148.0,Meta
2024-03-30,28420.0,20805.0,128.70000000000002,514.0,15.0,2529.1,Meta
2024-03-31,33683.0,24618.0,139.8,566.0,15.0,1094.8000000000002,Meta
2024-04-01,27876.0,18622.0,110.5,424.0,36.0,5391.4,Meta
2024-04-02,23305.0,15183.0,103.3,322.0,34.0,6877.700000000001,Meta
2024-04-03,21561.0,13618.0,102.19999999999999,334.0,24.0,3106.9,Meta
2024-04-04,23174.0,15383.0,100.5,372.0,24.0,3299.5,Meta
2024-04-05,31937.0,20795.0,162.5,564.0,51.0,6993.4,Meta
2024-04-06,34606.0,23672.0,155.0,658.0,17.0,2074.1,Meta
2024-04-07,40904.0,27655.0,178.8,736.0,26.0,19799.6,Meta
2024-04-08,37260.0,25295.0,178.1,609.0,60.0,6527.799999999999,Meta
2024-04-09,38032.0,25528.0,172.5,654.0,75.0,11079.2,Meta
2024-04-10,38450.0,25702.0,173.1,581.0,86.0,11025.199999999999,Meta
2024-04-11,38022.0,25572.0,171.10000000000002,603.0,79.0,19304.0,Meta
2024-04-12,37934.0,26448.0,180.9,528.0,66.0,10335.3,Meta
2024-04-13,43205.0,30231.0,187.0,547.0,36.0,6941.6,Meta
2024-04-14,48947.0,35003.0,206.4,627.0,34.0,5794.4,Meta
2024-04-15,34102.0,20709.0,198.7,450.0,52.0,7157.200000000001,Meta
2024-04-16,33411.0,20699.0,185.1,496.0,41.0,7227.5,Meta
2024-04-17,33192.0,20532.0,184.0,527.0,36.0,6196.299999999999,Meta
2024-04-18,30976.0,20005.0,181.2,523.0,29.0,6360.9,Meta
2024-04-19,29364.0,18812.0,171.8,459.0,31.0,3804.2,Meta
2024-04-20,31700.0,20233.0,176.1,572.0,13.0,1868.8999999999999,Meta
2024-04-21,36108.0,23709.0,184.2,619.0,23.0,3780.1000000000004,Meta
2024-04-22,30672.0,19683.0,178.3,454.0,48.0,10843.5,Meta
2024-04-23,26449.0,16887.0,172.3,470.0,59.0,11795.7,Meta
2024-04-24,25726.0,17028.0,170.89999999999998,438.0,51.0,7752.3,Meta
2024-04-25,25480.0,15443.0,188.39999999999998,429.0,55.0,8050.0,Meta
2024-04-26,25138.0,14690.0,182.5,411.0,29.0,4576.1,Meta
2024-04-27,26794.0,16762.0,176.7,476.0,17.0,4389.5,Meta
2024-04-28,29824.0,17220.0,199.9,486.0,21.0,3477.3,Meta
2024-04-29,26628.0,15303.0,194.89999999999998,487.0,50.0,8587.400000000001,Meta
2024-04-30,27964.0,16506.0,187.9,532.0,41.0,6147.3,Meta
2024-05-01,29452.0,17240.0,200.0,495.0,50.0,5885.4,Meta
2024-05-02,28556.0,17176.0,197.2,548.0,45.0,8134.099999999999,Meta
2024-05-03,27530.0,16377.0,198.1,502.0,54.0,6811.0,Meta
2024-05-04,24129.0,14787.0,167.5,542.0,21.0,3184.0,Meta
2024-05-05,34045.0,20381.0,229.5,690.0,39.0,8160.0,Meta
2024-05-06,33152.0,20341.0,231.60000000000002,651.0,65.0,13672.4,Meta
2024-05-07,31537.0,19147.0,215.0,522.0,56.0,8627.4,Meta
2024-05-08,29120.0,17508.0,205.8,537.0,59.0,7696.2,Meta
2024-05-09,26886.0,15897.0,197.7,540.0,53.0,13374.0,Meta
2024-05-10,27386.0,16062.0,203.6,472.0,47.0,5695.2,Meta
2024-05-11,33167.0,21965.0,200.9,646.0,22.0,3414.7999999999997,Meta
2024-05-12,44104.0,29740.0,238.3,803.0,30.0,4981.8,Meta
2024-05-13,34458.0,22295.0,231.4,590.0,58.0,11323.6,Meta
2024-05-14,20936.0,12921.0,152.5,412.0,34.0,4544.9,Meta
2024-05-15,21028.0,12903.0,149.7,469.0,47.0,8680.0,Meta
2024-05-16,22375.0,13493.0,173.6,494.0,51.0,10204.9,Meta
2024-05-17,30980.0,18700.0,226.39999999999998,635.0,33.0,7991.900000000001,Meta
2024-05-18,32996.0,20820.0,219.2,608.0,17.0,1569.6000000000001,Meta
2024-05-19,34016.0,22046.0,217.5,636.0,19.0,4471.7,Meta
2024-05-20,33127.0,21326.0,230.3,522.0,64.0,10279.1,Meta
2024-05-21,36276.0,21239.0,274.0,533.0,76.0,13316.6,Meta
2024-05-22,34595.0,20388.0,249.3,551.0,45.0,9022.1,Meta
2024-05-23,30154.0,18298.0,223.4,655.0,48.0,8870.5,Meta
2024-05-24,29439.0,18873.0,232.8,625.0,32.0,4711.8,Meta
2024-05-25,32383.0,20110.0,242.60000000000002,583.0,14.0,1985.2,Meta
2024-05-26,36208.0,22484.0,259.5,592.0,27.0,4884.2,Meta
2024-05-27,44790.0,27564.0,303.7,640.0,62.0,14150.4,Meta
2024-05-28,41002.0,25210.0,297.9,601.0,82.0,14667.5,Meta
2024-05-29,29973.0,18669.0,234.10000000000002,472.0,72.0,15236.1,Meta
2024-05-30,33753.0,21776.0,227.1,493.0,20.0,3691.1000000000004,Meta
2024-05-31,33389.0,21405.0,216.4,510.0,31.0,6648.700000000001,Meta
2024-06-01,34151.0,22814.0,196.89999999999998,605.0,20.0,3640.3,Meta
2024-06-02,30722.0,19672.0,180.0,524.0,25.0,4308.8,Meta
2024-06-03,33883.0,22200.0,232.7,504.0,53.0,9433.3,Meta
2024-06-04,24435.0,14856.0,169.3,443.0,34.0,7336.2,Meta
2024-06-05,37560.0,19195.0,281.5,510.0,52.0,11117.2,Meta
2024-06-06,38193.0,20028.0,283.6,432.0,63.0,18291.800000000003,Meta
2024-06-07,39709.0,22353.0,284.8,513.0,57.0,10320.2,Meta
2024-06-08,40185.0,23387.0,272.3,547.0,20.0,5010.0,Meta
2024-06-09,47656.0,26591.0,303.8,641.0,33.0,8803.8,Meta
2024-06-10,37265.0,22013.0,266.20000000000005,550.0,66.0,13801.3,Meta
2024-06-11,36566.0,21265.0,245.7,716.0,51.0,8963.1,Meta
2024-06-12,31682.0,18719.0,211.89999999999998,695.0,56.0,12061.900000000001,Meta
2024-06-13,35169.0,20486.0,212.5,780.0,62.0,14039.900000000001,Meta
2024-06-14,38350.0,23258.0,233.3,879.0,44.0,7823.5,Meta
2024-06-15,44010.0,26604.0,255.0,933.0,28.0,5884.2,Meta
2024-06-16,53813.0,32712.0,281.6,1155.0,46.0,8787.5,Meta
2024-06-17,46893.0,28172.0,268.2,917.0,67.0,14504.4,Meta
2024-06-18,43091.0,25430.0,257.8,848.0,52.0,10405.599999999999,Meta
2024-06-19,46275.0,26332.0,266.3,915.0,73.0,14463.599999999999,Meta
2024-06-20,44862.0,24832.0,263.20000000000005,943.0,47.0,9666.099999999999,Meta
2024-06-21,42857.0,24595.0,256.5,844.0,42.0,10980.9,Meta
2024-06-22,47827.0,28647.0,258.5,966.0,30.0,4266.5,Meta
2024-06-23,51279.0,29644.0,284.6,1043.0,31.0,7459.0,Meta
2024-06-24,44555.0,25923.0,277.1,854.0,65.0,11644.7,Meta
2024-06-25,46230.0,24949.0,308.7,927.0,51.0,8205.6,Meta
2024-06-26,48372.0,27524.0,314.3,888.0,41.0,8778.7,Meta
2024-06-27,39616.0,24380.0,278.7,1136.0,41.0,10476.099999999999,Meta
2024-06-28,42942.0,26719.0,284.0,1229.0,30.0,8220.4,Meta
2024-06-29,57071.0,33543.0,402.0,1537.0,23.0,2865.3,Meta
2024-06-30,62946.0,36447.0,412.5,1635.0,41.0,4934.4,Meta
